字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	编码规则待确认	是	只读	只读	是	是	是	通知单唯一标识；生成规则待确认。	按编码规则自动生成（待确认）	编码统一规范见 COM-FR03，一期不预设格式
单据信息	来源采购订单	关联选择	采购订单	是	只读	只读	是	是	是	创建时必须来自已审核、正常且有可下推数量的订单；一张订单可以生成多张通知单。	已审核、正常且有可下推数量的采购订单	
单据信息	收货仓库	关联选择	仓库资料	是	只读	只读	是	是	是	沿用来源订单的收货仓库。	沿用来源单据的收货仓库	仓库执行按原单逻辑仓记账
单据信息	备注	多行文本	手工录入	否	是	是	否	否	是	补充说明。	自由文本	
状态信息	单据状态	枚举	流程更新	是	否	只读	是	是	是	待推送、推送中、推送失败、待收货、取消中、已收货、已取消；创建后由系统自动推送仓库，不需要人工再点推送。	待推送／推送中／推送失败／待收货／取消中／已收货／已取消	零收按取消结束；通知不设部分收货状态
状态信息	推送时间	日期时间	系统记录	条件必填	否	否	否	否	是	最近一次推送仓库的时间。	最近一次推送仓库的时间	未推送时留空
状态信息	最终收货确认时间	日期时间	系统记录	条件必填	否	否	否	否	是	仓库最终回传收货结果的时间；还没确认时留空。	仓库最终回传收货结果的时间	还没确认时留空
状态信息	推送失败原因	多行文本	系统记录	条件必填	否	否	否	否	是	推送明确失败时记录；重试成功后仍保留历史。	推送明确失败时记录	重试成功后仍保留历史
状态信息	最近处理时间	日期时间	系统记录	条件必填	否	否	否	否	是	最近一次推送或异常处理的时间。	最近一次推送或异常处理的时间	
终止信息	取消原因	文本	手工录入	条件必填	否	否	否	否	是	通知取消时填写。	通知取消时填写	未取消时留空
终止信息	取消时间	日期时间	系统记录	条件必填	否	否	否	否	是	取消成功的时间；未取消时留空。	取消成功的时间	未取消时留空
终止信息	取消操作人	用户引用	系统记录	条件必填	否	否	否	否	是	执行取消操作的人员；未取消时留空。	执行取消操作的人员	未取消时留空
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从 1 开始的整数	
商品明细	来源订单行	关联明细	采购订单	是	只读	只读	否	否	是	关联来源订单明细，数量按来源行累计。	关联来源采购订单明细	数量按来源行累计
商品明细	商品	关联选择	商品资料	是	只读	只读	否	是	是	沿用来源订单行的商品。	沿用来源采购订单行的成品 SKU	明细展示商品名称
商品明细	基本单位	关联选择	商品资料	是	只读	只读	否	否	是	按所选商品实时带出；与商品名称一起在明细展示，作为数量的计量口径，不单独维护。	商品资料的基本单位	按所选商品实时带出，与商品名称一起在明细展示
商品明细	通知数量	数值	手工录入	是	是	只读	是	否	是	本次通知的收货数量；创建即占用订单可下推额度。	大于 0；本次通知的收货数量	通知创建后不能改数量
商品明细	实收数量	数值	系统回写	是	否	只读	是	否	是	仓库最终回传的实际收货数量；不超过通知数量。	0 到通知数量之间	零收时按取消处理，不生成结果单
商品明细	缺收数量	数值	系统计算	是	否	只读	是	否	是	通知数量减实收数量；不回原通知补收，需要补收时另建通知单。	通知数量减实收数量	收货完成后计算；缺量通过展示呈现，不增加流程状态
系统信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建单人员。	建单人员	
系统信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	是	是	建单时间。	建单时间	通知单没有单据日期，页面用创建时间；列表按创建时间筛选
系统信息	更新人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改人员。	最近修改人员	
系统信息	更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改时间。	最近修改时间	
