字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	退货单唯一标识；按统一编码规范自动生成。
单据信息	供应商	关联选择	供应商资料	一张退货单只对应一个供应商；只能选择审核通过且启用的供应商。
单据信息	币别	关联选择	辅助资料／币别	本单交易币别。
单据信息	价税合计	金额	系统计算	按商品明细价税合计汇总。
单据信息	税额	金额	系统计算	按商品明细税额汇总。
单据信息	金额	金额	系统计算	按商品明细金额（不含税金额）汇总。
单据信息	出库仓库	关联选择	仓库资料	一张退货单只有一个出库仓库，实际选择逻辑仓；出库按所选逻辑仓记账。
单据信息	退货截止时间	日期时间	手工录入	到期未退部分在截止时间过后T+2自然日自动关闭；审核后仅可调整本字段。
单据信息	来源采购入库单	关联选择	采购入库单	可选关联；关联时带出原入库商品、数量和价格，也可以无来源手工创建。
单据信息	备注	多行文本	手工录入	补充说明。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	商品	关联选择	商品资料	选择要退回的成品 SKU；有来源时由原入库明细带出。
商品明细	基本单位	关联选择	商品资料	按所选商品实时带出；与商品名称一起在明细展示，作为数量的计量口径，不单独维护。
商品明细	来源入库单行	关联明细	采购入库单	有来源时关联原入库明细，带出数量和原入库价格；无来源时留空。
商品明细	退货数量	数值	手工录入	以基本单位计量；审核后固定；关联原入库时不超过剩余可退额度；无来源每行大于0，不套原入库额度。
商品明细	含税单价	金额	手工录入或来源带出	有来源时带出原入库含税价格；缺价或没有来源时可以手工填写，也可以查询当前采购价快速填入；草稿可改，提交后锁定。
商品明细	税率	数值	手工录入或来源带出	有来源时带出原入库税率；缺价或没有来源时手工填写，查询当前采购价时一并带入；提交后锁定；按百分比最多2位小数，允许0%。
商品明细	不含税单价	金额	系统计算	按含税单价和税率自动计算；单价4位小数，行内尾差进税额。
商品明细	价税合计	金额	系统计算	本行含税金额，按退货数量与含税单价计算。
商品明细	税额	金额	系统计算	本行税额，按价税合计与金额计算。
商品明细	金额	金额	系统计算	本行不含税金额，按退货数量与不含税单价计算。
商品明细	累计实出数量	数值	系统回写	由已审核采退出库单按来源行回写的累计实际出库数量。
商品明细	在途通知数量	数值	系统计算	未结束的采退发货通知单占用的数量。
商品明细	可下推数量	数值	系统计算	退货数量减已结束通知的实际出库数量，再减未结束通知的通知数量。
状态信息	审核状态	枚举	流程更新	草稿、待审核、已审核；审核时占用可用库存，可用量不足不能审核。
状态信息	业务状态	枚举	人工维护或系统更新	正常、已取消、已关闭；关闭释放未下推预占，不能反关单，取消与关闭都不可撤销。
终止信息	关闭方式	枚举	人工关闭或系统自动	手动关闭、到期自动关闭；未关闭时留空。
终止信息	关闭原因	文本	手工录入	手工关闭时填写；系统自动关闭时留空，用关闭方式区分。
终止信息	关闭时间	日期时间	系统记录	关闭操作发生的时间；未关闭时留空。
终止信息	关闭操作人	用户引用	系统记录	手工关闭记录操作人；到期自动关闭时留空，用关闭方式表达。未关闭时留空。
终止信息	取消原因	文本	手工录入	整单取消时填写。
终止信息	取消时间	日期时间	系统记录	取消操作发生的时间；未取消时留空。
终止信息	取消操作人	用户引用	系统记录	执行取消操作的人员；未取消时留空。
审核信息	审核人	用户引用	系统记录	最近一次完成审核或撤回的人员。
审核信息	审核时间	日期时间	系统记录	最近一次审核操作的时间。
审核信息	撤回意见	多行文本	人工录入	撤回时填写并保留；撤回后回到草稿。
系统信息	创建人	用户引用	系统记录	建单人员。
系统信息	创建时间	日期时间	系统记录	建单时间。
系统信息	最后更新人	用户引用	系统记录	最近修改人员。
系统信息	最后更新时间	日期时间	系统记录	最近修改时间。
